ID,site
sm1,'01104475
sm2,'02336030
sm3,'02217274
sm4,'01646305
sm5,'01466500
sm7,'01581752
sm8,'01645762
sm9,'01651800
sm10,'01585230
sm11,'01656903
sm12,'01480400
sm13,'14211499
sm14,'14138720
sm15,'02334578
sm17,'14138870
sm18,'04043238
sm19,'12147600
sm20,'01645704
sm21,'02218565
sm22,'10172200
sm23,'02207400
sm24,'14138900
sm25,'02335350
sm26,'14320934
sm27,'02334480
sm28,'06893620
sm29,'0422026250
sm30,'12210900
sm31,'02266200
sm32,'02207185
sm33,'04043244
sm34,'02203700
sm35,'13018300
sm36,'12137290
sm37,'01649190
sm38,'02336526
sm40,'14211400
sm41,'02172300
sm42,'14139800
sm43,'10129900
sm44,'02338523
sm45,'02423397
sm46,'02207385
sm49,'10249300
sm50,'12148000
sm51,'05435943
sm53,'01187300
sm55,'02246459
sm57,'12447390
sm58,'12209490
sm59,'02203655
sm60,'14141500
sm61,'01654000
sm62,'14161500
sm64,'14180300
sm65,'02336360
sm66,'14211500
sm67,'02455980
sm68,'02336240
sm69,'05288705
sm70,'02111000
sm71,'12413370
sm72,'09183600
sm73,'12148300
sm74,'04232050
sm75,'01095220
sm76,'03022540
sm77,'02208150
sm78,'02335870
sm79,'14206950
sm80,'02458450
sm81,'14205400
sm82,'06893890
sm83,'10133650
sm84,'02337498
sm85,'02336728
sm86,'02336120
sm87,'10336780
sm88,'02336410
sm89,'08052745
sm91,'12115000
sm93,'06036805
sm94,'03544970
sm95,'01170100
sm96,'14150800
sm97,'01408000
sm98,'01095375
sm99,'02330450
sm100,'03022554
sm102,'01480500
sm103,'01545600
sm104,'02077200
sm105,'02334885
sm106,'14138850
sm107,'01596500
sm108,'03460000
sm109,'02457595
sm110,'04188496
sm111,'07061270
sm113,'02479155
sm114,'14211550
sm115,'08377900
sm116,'10336610
sm117,'01480617
sm118,'01073319
sm119,'12056500
sm120,'10133800
sm121,'01646000
md1,'01472157
md2,'07191222
md3,'03067510
md5,'01484525
md6,'03028000
md7,'01408029
md8,'02385800
md9,'05370000
md10,'14046890
md11,'06204070
md12,'02337410
md13,'01435000
md14,'03446000
md15,'14034470
md16,'07160350
md17,'02344630
md18,'13016450
md19,'13150430
md20,'07263296
md22,'03027500
md23,'02212600
md24,'01649500
md25,'08052700
md26,'09196500
md27,'12137800
md28,'03092460
md29,'01581920
md30,'12116500
md31,'02336300
md32,'03066000
md33,'03034500
md34,'07061290
md35,'14162200
md37,'02450250
md38,'12138160
md39,'03095500
md41,'14034500
md42,'02266300
md43,'14185900
md44,'03058000
md45,'01091000
md47,'01193500
md48,'12205000
md49,'14179000
md50,'14153500
md51,'01597500
md52,'10133980
md53,'02201000
md54,'04077630
md55,'07048550
md56,'02137727
md57,'05331833
md58,'13018350
md59,'03456991
md60,'14338000
md61,'12117600
md63,'01544500
md64,'04063700
md65,'0423205010
md66,'11173575
md67,'03034000
md69,'12323770
md70,'14159200
md71,'02207120
md72,'071912213
md74,'01436690
md75,'12119000
md76,'14185000
md77,'14318000
md78,'03073000
md79,'04166500
md80,'03512000
md81,'06894000
md82,'02208450
md83,'14151000
md84,'01362500
md85,'03038000
md86,'03042000
md87,'01433500
md88,'03028500
md89,'10396000
md90,'0351706800
md91,'14159500
md92,'14154500
md93,'14178000
md95,'14362000
md96,'02423496
md97,'03017500
md99,'02337000
md100,'13331500
md101,'01420500
md102,'04125460
md104,'03090500
md105,'02042500
md106,'03007800
md107,'01129200
md108,'14169000
md109,'07014000
md110,'13092747
md111,'04199500
md113,'01595800
md114,'14155500
md115,'05124480
md116,'03091500
md117,'03039000
md118,'01431500
md119,'03047000
md120,'01481000
md121,'03076500
md122,'14091500
md123,'01481500
md124,'04142000
md125,'03102850
md126,'03036000
md127,'03106000
md128,'04121944
md129,'14330000
md130,'08070200
md131,'03079000
md132,'14145500
md133,'04200500
md134,'11176900
md135,'07364133
md137,'03077500
md138,'06037500
md139,'04213500
md140,'01518700
md141,'02160700
md142,'05524500
md143,'14181500
md144,'01425000
md145,'01417500
md146,'14316500
md147,'03020000
md148,'14366000
md149,'01400500
md150,'10261500
md151,'03189100
md152,'05515500
md153,'03524000
md154,'14187200
md155,'02321500
md156,'03094000
lg1,'03103500
lg2,'12210700
lg3,'01432110
lg4,'01426500
lg6,'394220106431500
lg7,'08086212
lg8,'04027000
lg9,'11179000
lg10,'06188000
lg11,'01611500
lg12,'14210000
lg13,'14369500
lg15,'03069500
lg16,'04165500
lg17,'14184100
lg18,'12213100
lg19,'02160105
lg20,'03061000
lg22,'01421000
lg23,'08068000
lg24,'03200500
lg25,'04124000
lg26,'07177500
lg27,'03054500
lg28,'14162500
lg29,'07106500
lg30,'14148000
lg31,'06038500
lg32,'14211010
lg33,'14337600
lg34,'03451500
lg35,'01549700
lg36,'09406000
lg37,'11302000
lg38,'04124200
lg39,'02322500
lg40,'14150000
lg41,'03081000
lg42,'02334430
lg43,'04176500
lg44,'03099500
lg45,'10348200
lg46,'11303000
lg47,'04136000
lg48,'09149500
lg49,'02394000
lg50,'02110500
lg51,'14164900
lg52,'06038800
lg53,'02335000
lg54,'03056000
lg55,'14339000
lg56,'09205000
lg57,'13340600
lg58,'02232400
lg59,'08181500
lg60,'11467000
lg61,'14152000
lg62,'03057000
lg63,'14319500
lg64,'04136500
lg65,'03044000
lg66,'03183500
lg67,'04125550
lg68,'02317500
lg69,'02110704
lg70,'02336000
lg71,'01608500
lg72,'01542500
lg73,'04136900
lg74,'02322800
lg75,'05055300
lg76,'01427207
lg77,'11501000
lg78,'10351600
lg79,'04137005
lg80,'03011020
lg81,'07198000
lg82,'09328500
lg83,'12362500
lg84,'03083500
lg86,'10351700
lg87,'09314500
lg88,'08181800
lg89,'04137500
lg91,'01427510
lg92,'11290000
lg93,'03353611
lg94,'11446500
lg95,'01428500
lg96,'14359000
lg97,'02337170
lg98,'09171100
lg99,'03012550
lg100,'06041000
lg101,'03105500
lg102,'12340000
lg103,'03346500
lg104,'04121970
lg105,'02168504
lg106,'03354000
lg107,'14361500
lg108,'04231600
lg109,'02169000
lg111,'06191500
lg112,'14076500
lg113,'10301500
lg114,'02156500
lg115,'02135000
lg116,'05057000
lg117,'11502500
lg119,'07312500
lg120,'09355500
lg121,'06711565
lg122,'04024000
lg124,'14166000
lg125,'04101500
lg126,'09302000
lg127,'11507500
lg128,'04067500
lg129,'14372300
lg131,'05058000
lg133,'03072655
lg134,'14087400
lg135,'09180000
lg137,'07099970
lg138,'14174000
lg139,'04249000
lg140,'05527500
lg141,'05595000
lg143,'03075070
lg144,'13340000
lg145,'09144250
lg148,'07109500
lg150,'040851385
lg151,'05054000
lg152,'02244040
lg153,'11509500
lg154,'09365000
lg155,'05440700
lg156,'13341050
lg157,'14092500
lg158,'14197900
lg159,'11261500
lg160,'13342500
lg161,'14103000
lg164,'14211720
lg165,'01540500
lg166,'11274550
lg167,'07239450
lg168,'07239700
lg169,'07241520
lg170,'11390500
lg171,'08317400
lg172,'06054500
lg173,'09234500
lg174,'08126380
lg175,'06066500
lg176,'09163500
