ID,RAW_DIS_NEAREST_DAM,RAW_DIS_NEAREST_MAJ_DAM
sm1,-999,-999
sm2,-999,-999
sm3,-999,-999
sm4,-999,-999
sm5,-999,-999
sm7,-999,-999
sm8,0.6307558,-999
sm9,-999,-999
sm10,-999,-999
sm11,-999,-999
sm12,0.3793229,0.3793229
sm13,-999,-999
sm14,1.894742,1.894742
sm15,-999,-999
sm17,-999,-999
sm18,-999,-999
sm19,-999,-999
sm20,-999,-999
sm21,3.602611,-999
sm22,-999,-999
sm23,3.279196,-999
sm24,-999,-999
sm25,1.457331,-999
sm26,-999,-999
sm27,-999,-999
sm28,6.422194,-999
sm29,-999,-999
sm30,-999,-999
sm31,-999,-999
sm32,3.378954,-999
sm33,-999,-999
sm34,-999,-999
sm35,-999,-999
sm36,-999,-999
sm37,-999,-999
sm38,-999,-999
sm40,-999,-999
sm41,4.146145,-999
sm42,-999,-999
sm43,2.810954,-999
sm44,-999,-999
sm45,-999,-999
sm46,4.379807,-999
sm49,-999,-999
sm50,-999,-999
sm51,-999,-999
sm53,8.636642,-999
sm55,-999,-999
sm57,-999,-999
sm58,-999,-999
sm59,3.852311,-999
sm60,-999,-999
sm61,2.543928,-999
sm62,-999,-999
sm64,-999,-999
sm65,2.423594,11.84252
sm66,3.751049,-999
sm67,6.32588,-999
sm68,2.435368,-999
sm69,-999,-999
sm70,1.345979,-999
sm71,-999,-999
sm72,11.97699,-999
sm73,0.475489,0.475489
sm74,4.648661,-999
sm75,6.079409,-999
sm76,1.611028,-999
sm77,7.575792,-999
sm78,1.707402,-999
sm79,-999,-999
sm80,1.879641,-999
sm81,3.858516,-999
sm82,0.3682555,1.234048
sm83,3.360449,-999
sm84,3.154544,-999
sm85,2.007885,4.517624
sm86,5.503473,-999
sm87,-999,-999
sm88,6.740853,18.33803
sm89,13.02148,-999
sm91,-999,-999
sm93,-999,-999
sm94,-999,-999
sm95,10.41364,-999
sm96,-999,-999
sm97,3.889518,3.889518
sm98,1.565444,4.652133
sm99,2.667156,2.667156
sm100,0.5868156,0.5868156
sm102,3.061264,5.148091
sm103,-999,-999
sm104,1.43973,-999
sm105,1.679447,-999
sm106,13.65295,13.65295
sm107,7.269471,-999
sm108,-999,-999
sm109,7.279408,-999
sm110,-999,-999
sm111,3.150146,7.260796
sm113,-999,-999
sm114,7.327759,-999
sm115,-999,-999
sm116,10.79951,-999
sm117,6.525552,8.509172
sm118,12.40675,-999
sm119,-999,-999
sm120,2.254767,-999
sm121,3.557448,8.59571
md1,6.669101,-999
md2,-999,-999
md3,22.13855,-999
md5,0.02932709,-999
md6,-999,-999
md7,1.493904,7.090978
md8,3.526431,-999
md9,0.4811131,0.4811131
md10,-999,-999
md11,0.634163,5.712577
md12,2.472674,8.917975
md13,5.640037,-999
md14,0.8205019,-999
md15,-999,-999
md16,7.06546,7.06546
md17,3.489299,-999
md18,-999,-999
md19,-999,-999
md20,6.2835,-999
md22,0.7559896,0.7559896
md23,3.860432,-999
md24,2.242065,-999
md25,1.182409,-999
md26,-999,-999
md27,8.625064,8.625064
md28,0.6535753,0.6535753
md29,1.474808,1.474808
md30,3.042888,3.042888
md31,8.834747,-999
md32,5.482828,-999
md33,18.76909,-999
md34,4.669608,4.669608
md35,1.067777,1.067777
md37,11.38319,-999
md38,3.763536,4.25514
md39,0.04803661,0.04803661
md41,0.6412596,0.6412596
md42,-999,-999
md43,-999,-999
md44,0.1594586,0.1594586
md45,3.245866,-999
md47,4.67978,-999
md48,12.87142,-999
md49,-999,-999
md50,0.5334886,0.5334886
md51,1.039132,1.039132
md52,12.53886,-999
md53,9.06086,-999
md54,13.68094,-999
md55,7.515872,-999
md56,11.06225,-999
md57,17.35317,17.35317
md58,21.66542,-999
md59,3.813001,13.36544
md60,0.4110841,0.4110841
md61,1.714674,17.8999
md63,-999,-999
md64,2.59624,-999
md65,5.378681,-999
md66,6.068505,6.068505
md67,8.052062,-999
md69,19.72379,34.99977
md70,-999,-999
md71,7.417099,20.08493
md72,16.84813,21.57967
md74,2.668325,3.694098
md75,21.82343,35.08685
md76,-999,-999
md77,27.1284,27.1284
md78,1.885104,9.291056
md79,17.16483,-999
md80,6.136737,-999
md81,8.600127,8.693027
md82,0.8766203,-999
md83,1.432985,1.432985
md84,9.028938,-999
md85,8.853552,8.853552
md86,11.32669,14.24734
md87,2.020848,2.020848
md88,10.8769,10.8769
md89,14.36811,-999
md90,7.780493,7.780493
md91,1.016402,1.016402
md92,-999,-999
md93,-999,-999
md95,0.9029906,0.9029906
md96,1.127807,1.127807
md97,19.74559,-999
md99,7.556033,-999
md100,-999,-999
md101,6.289938,-999
md102,16.49308,-999
md104,0.2680833,0.2680833
md105,8.335245,-999
md106,-999,-999
md107,5.140833,5.140833
md108,0.4126975,0.4126975
md109,5.962818,17.50974
md110,17.65211,-999
md111,12.58409,36.57118
md113,24.04868,29.71163
md114,3.001271,3.001271
md115,-999,-999
md116,0.7078586,0.7078586
md117,0.7572733,0.7572733
md118,4.939713,17.05901
md119,4.194375,26.48231
md120,2.271831,16.62876
md121,16.2058,16.2058
md122,29.51224,29.51224
md123,3.172286,27.87104
md124,2.87092,5.9363
md125,6.125418,12.76442
md126,1.287102,1.287102
md127,6.448701,25.51377
md128,9.354796,-999
md129,3.279065,3.279065
md130,33.25987,-999
md131,5.711046,-999
md132,1.935017,1.935017
md133,2.577281,-999
md134,12.05405,12.05405
md135,10.54397,10.54397
md137,0.9118557,0.9118557
md138,-999,-999
md139,11.75224,24.58239
md140,5.597667,6.387016
md141,18.14326,37.31817
md142,-999,-999
md143,1.236764,1.236764
md144,2.148839,2.148839
md145,11.19204,14.08234
md146,3.451005,3.451005
md147,0.4432642,0.4432642
md148,20.83835,20.83835
md149,10.39762,22.6184
md150,26.70689,26.70689
md151,14.13416,25.82445
md152,12.40775,32.05605
md153,19.40172,61.11268
md154,1.512083,1.512083
md155,5.967955,-999
md156,8.621513,14.90912
lg1,0.8776445,0.8776445
lg2,45.3889,-999
lg3,7.861396,12.50502
lg4,6.124135,6.8608
lg6,9.97,15.517
lg7,5.444898,22.10031
lg8,17.69193,-999
lg9,9.995238,9.995238
lg10,-999,-999
lg11,43.89077,79.14018
lg12,0.2474771,0.2474771
lg13,14.93556,41.01883
lg15,8.035989,-999
lg16,6.392307,20.04215
lg17,15.57853,54.74906
lg18,11.36811,-999
lg19,17.263,45.08
lg20,5.073236,9.2016
lg22,11.07052,20.85543
lg23,7.585649,16.19496
lg24,25.78823,25.78823
lg25,8.205439,-999
lg26,8.960309,14.39438
lg27,13.72498,13.72498
lg28,12.49158,12.49158
lg29,2.384173,36.5782
lg30,11.83696,15.10126
lg31,0.371747,0.371747
lg32,6.740997,19.84617
lg33,3.919863,3.919863
lg34,3.414758,6.685232
lg35,9.578366,9.578366
lg36,16.18776,16.18776
lg37,1.435727,1.435727
lg38,0.1013892,0.1013892
lg39,19.57768,-999
lg40,3.511716,3.511716
lg41,3.329383,3.329383
lg42,0.7242093,0.7242093
lg43,10.25812,50.73614
lg44,4.638587,4.638587
lg45,7.635933,9.322566
lg46,25.013,25.013
lg47,3.479238,33.37098
lg48,4.727522,32.19994
lg49,1.23329,1.23329
lg50,30.5766,-999
lg51,1.927291,51.98629
lg52,14.06841,14.06841
lg53,1.649675,1.649675
lg54,1.080893,1.080893
lg55,3.334435,12.61522
lg56,16.52408,35.31288
lg57,-999,-999
lg58,-999,-999
lg59,0.8535584,0.8535584
lg60,6.637946,13.19314
lg61,11.53304,11.53304
lg62,3.232116,16.07708
lg63,4.899651,16.01975
lg64,0.1393005,0.1393005
lg65,2.572839,2.572839
lg66,27.97621,31.58135
lg67,0.2412635,0.2412635
lg68,14.11777,37.31997
lg69,3.754377,-999
lg70,1.015263,1.968649
lg71,45.13997,58.24381
lg72,22.33895,22.67682
lg73,22.64625,23.91961
lg74,30.14436,-999
lg75,32.64918,32.64918
lg76,3.742544,25.67442
lg77,17.50936,-999
lg78,0.5860918,11.86378
lg79,0.1940802,0.1940802
lg80,12.16022,28.9109
lg81,3.190495,3.190495
lg82,44.22863,73.1236
lg83,2.569134,2.569134
lg84,6.746256,6.746256
lg86,8.6539,34.93953
lg87,31.96377,40.33826
lg88,2.790242,2.790242
lg89,0.58804,0.58804
lg91,4.179333,36.83046
lg92,27.64247,27.64247
lg93,5.815938,14.95448
lg94,0.6682279,0.6682279
lg95,4.355764,63.79007
lg96,0.2700686,17.53813
lg97,4.253952,6.28377
lg98,20.39474,79.00189
lg99,0.7561816,0.7561816
lg100,4.802283,4.802283
lg101,24.36998,25.66477
lg102,9.911672,73.19539
lg103,15.06792,91.95943
lg104,0.3254705,0.3254705
lg105,0.8145321,0.8145321
lg106,1.139913,28.52289
lg107,7.261645,28.98971
lg108,9.480462,40.71235
lg109,0.2917942,12.67863
lg111,9.530353,-999
lg112,11.08488,38.15052
lg113,3.286368,17.12741
lg114,3.51231,37.70625
lg115,8.548383,136.0699
lg116,0.01738815,147.8728
lg117,1.4398,-999
lg119,13.43918,17.76134
lg120,7.621623,7.621623
lg121,3.920914,4.040992
lg122,0.4882958,30.02418
lg124,19.16173,48.54012
lg125,1.165494,21.10988
lg126,1.571018,11.0263
lg127,1.343771,1.343771
lg128,4.088026,20.53984
lg129,53.19714,87.5677
lg131,0.3132781,0.3132781
lg133,4.296475,4.296475
lg134,32.71478,32.71478
lg135,28.75461,43.60001
lg137,1.793207,10.45007
lg138,18.30518,33.05716
lg139,0.0650573,30.01346
lg140,5.302907,23.97371
lg141,3.27675,3.27675
lg143,7.665177,7.887716
lg144,41.44782,-999
lg145,6.446572,13.40285
lg148,10.05392,23.39247
lg150,8.162674,9.983046
lg151,3.303968,62.09357
lg152,7.362811,15.35279
lg153,1.221164,1.221164
lg154,5.960739,13.13176
lg155,5.866272,22.37292
lg156,7.610595,7.610595
lg157,0.2313344,3.776144
lg158,3.401541,12.07234
lg159,35.92168,35.92168
lg160,17.73083,31.95427
lg161,36.86396,51.96183
lg164,5.382392,5.627403
lg165,18.24665,18.24665
lg166,32.33218,36.06275
lg167,12.78198,70.8433
lg168,22.02875,98.06141
lg169,14.94843,28.34761
lg170,24.45656,51.53648
lg171,0.6260367,0.6260367
lg172,3.047402,3.047402
lg173,0.7660542,0.7660542
lg174,1.402767,2.184094
lg175,0.6464844,0.6464844
lg176,14.28346,21.85239
