Site,LAT_GAGE,LNG_GAGE,Slope_Jan_Resid,Slope_Feb_Resid,Slope_Mar_Resid,Slope_Apr_Resid,Slope_May_Resid,Slope_Jun_Resid,Slope_Jul_Resid,Slope_Aug_Resid,Slope_Sep_Resid,Slope_Oct_resid,Slope_Nov_Resid,Slope_Dec_Resid
sm3,34.08233,-83.85462,0.007647723,-0.000720787,-0.016487013,-0.016628755,-0.01062368,-0.021189434,-0.031659542,-0.046161907,-0.051702087,0.013594619,-0.005407336,0.02616855
sm15,34.096489,-84.079634,0.009090138,0.013121751,0.001947457,-0.001078732,0.001236624,0.000669842,-0.005210069,-0.012507566,-0.024620379,0.00114932,-0.001650469,0.01155953
sm21,34.010383,-83.894068,0.025694703,0.021777241,0.007904368,0.002707965,0.024417607,0.013121378,0.017323074,0.008132513,-0.034319272,0.019838704,0.01900754,0.032125203
sm23,33.821497,-83.942408,0.051251632,0.051435955,0.04782435,0.033823027,0.029849277,-0.073078788,-0.03489772,0.018948792,0.031529443,0.040146819,0.054543644,0.030729926
sm25,33.965101,-84.264923,0.011697835,0.011792389,0.01397499,-0.013721333,0.008593007,0.028283706,0.003639305,-0.094191663,-0.04556439,-0.010789287,-0.000846349,-0.016410899
sm27,34.1326,-84.069911,0.035481033,0.026913862,0.014031158,0.002651758,0.012088202,0.003106406,-0.020271342,-0.010833071,-0.021121197,0.020396828,0.01547855,0.028993661
sm34,33.688997,-84.33048,-0.01750517,-0.013078209,-0.009820101,-0.031442497,-0.001571231,0.026013964,0.085329164,0.01445778,0.042152317,0.034856403,-0.003140577,0.042100793
sm38,33.794273,-84.474375,0.083477053,0.068443582,0.052128674,0.039061201,0.028741117,0.030339511,0.0662908,0.055052223,0.021260223,0.072135528,0.068876181,0.077007672
sm41,33.753477,-81.601771,-0.009835428,-0.007749866,-0.006758315,0.031255298,0.005496748,-0.039894765,-0.001852153,-0.017527412,-0.028451192,0.031133573,-8.74E-05,-0.032198488
sm44,33.340672,-85.22689,-0.031997663,0.020029839,0.001257688,-0.012959226,-0.010528695,-0.007702508,-0.000785956,-0.053553834,0.009315627,0.027291506,0.020093518,0.034515682
sm45,33.534549,-86.562485,-0.118310378,-0.099020594,-0.084331561,-0.07313502,-0.116458832,-0.12838825,-0.222886976,-0.15773132,-0.118993763,-0.134469301,-0.094147775,-0.099091117
sm46,33.815107,-83.990188,-0.011727162,-0.013985623,-0.009569126,0.003977062,0.005330253,-0.05267783,-4.13E-05,-0.074956113,0.002463867,0.012099337,0.0094618,-0.007720393
sm55,30.282184,-81.740376,-0.079656525,0.016414247,-0.041243224,-0.053390746,-0.034683769,-0.090882089,0.208986158,0.024063941,-0.041641075,0.007938622,-0.074047791,-0.114698706
sm59,33.678997,-84.357981,0.056451007,0.047043583,0.049796531,0.046942152,0.047249114,0.050813027,0.02072683,-0.009825448,0.012972222,0.025482757,0.045132843,0.054573467
sm65,33.869167,-84.378889,0.074324999,0.075414805,0.065340989,0.043357186,0.051579245,0.047537093,0.044921312,0.030328768,0.035262689,0.051851067,0.050368502,0.027579507
sm67,33.711213,-86.696101,-0.056038242,-0.065299558,-0.086994263,-0.046686583,-0.096286874,-0.092279631,-0.148565298,-0.092772469,-0.063003127,-0.060709111,-0.010043337,-0.023370186
sm70,35.99083333,-81.55833333,0.02207194,0.012614234,0.032845608,0.03611702,-0.039709432,-0.06466465,-0.031278696,-0.003728033,0.03757203,0.008433975,0.032332729,0.060520661
sm77,33.917607,-83.887958,0.049267915,0.032170511,0.034266307,0.02803139,0.023097782,0.020001098,-0.005208694,0.019563618,0.010640444,0.028982753,0.01721297,0.048445165
sm80,33.5176059,-86.8791584,-0.066783153,-0.080799403,-0.067424896,-0.015865925,-0.062214496,-0.083176629,-0.102036688,0.007864259,-0.030788277,-0.054618909,-0.041807577,-0.061492142
sm84,33.527222,-84.936389,-0.324999117,-0.225964979,-0.182427281,-0.156403053,-0.177450626,-0.155726595,-0.366739388,-0.144464969,-0.323882326,-0.194953189,-0.222746394,-0.348319409
sm85,33.743441,-84.568266,0.040552013,0.036551939,0.04478493,0.021085496,0.039534432,0.057283746,0.047481907,0.041340951,0.033205229,0.028280068,0.037059028,0.040578051
sm86,33.831493,-84.342703,0.058047635,0.054225994,0.042203868,0.025376916,0.023248225,0.018668915,-0.011826642,0.003519236,0.002603381,0.032474015,0.035115322,0.038048402
sm88,33.838438,-84.439373,0.062850889,0.060302848,0.058043403,0.035473869,0.043665353,0.066003385,0.054153687,0.035918304,0.046990811,0.047931201,0.043817303,0.042949416
sm99,34.70083333,-83.72888889,0.013557423,0.023654528,-0.011651507,0.012297361,-0.044813936,-0.05155218,-0.067527221,-0.056443496,-0.026253537,-0.00937276,0.023144636,0.020666235
sm109,33.597049,-86.868048,-0.001798213,-0.017340779,-4.27E-05,0.042703235,0.060563185,0.043502055,0.004337112,0.133053878,0.078643572,0.038807953,0.021935266,0.014080165
sm113,31.02527778,-89.01666667,0.056662736,0.060772893,0.092321111,0.06292013,0.133426948,0.021262902,0.048583625,0.008438649,-0.017492273,0.086778712,0.041570183,0.073973076
md8,34.71666667,-84.77,0.080520286,0.091188721,0.061162239,0.09872667,0.117531972,0.140316186,0.355456532,0.119154359,0.164407609,0.060989112,0.053363839,0.057527923
md12,33.653806,-84.821028,0.081044033,0.095432779,0.080700616,0.066222206,0.100011437,0.107962302,0.080073678,0.154122472,0.176399345,0.143168141,0.0927085,0.089317104
md23,33.0998535,-83.72351041,0.082475321,0.082581599,0.032173033,0.041682445,0.048940027,0.050519043,0.026935588,0.086082388,-0.030115761,0.037333992,0.058254724,0.05977063
md31,33.81944444,-84.40777778,0.053594712,0.050433196,0.048354047,0.029552206,0.010764335,0.010706358,-0.008699165,0.070764396,0.043491945,0.04555954,0.040526671,0.043318049
md37,34.28537757,-87.39890838,-0.014669782,-0.047196933,-0.037318459,-0.005677468,0.132432901,0.076836566,0.230974043,-0.021797416,0.046628011,0.014820743,0.023540363,-0.029389672
md53,32.97570924,-82.60985398,0.078715162,0.085719235,0.077585205,0.056900529,0.027397467,4.78E-05,-0.056458354,0.043917755,-0.0050704,0.064515062,0.04533035,0.063993169
md56,35.68583333,-82.06027778,0.01231438,-0.003074214,0.034297875,0.037719675,-0.02934391,0.065313157,-0.06408307,-0.010963002,0.025152709,0.001896499,0.007718446,0.041182631
md96,33.369277,-86.784155,-0.032486692,-0.015377688,0.002177273,0.010416353,0.052421398,-0.03872436,0.089047266,0.08136199,0.123840221,0.074600896,0.035774684,-0.086330689
md99,33.77288466,-84.61465559,0.034498431,0.036979439,0.048932865,0.001880872,0.082060423,0.019345101,0.074702844,0.136252105,0.025586428,0.054706955,-0.017162474,0.012476434
md141,34.50930392,-81.59815943,0.04307676,0.026264846,0.02996576,0.026673406,0.037662578,0.12762677,0.209008018,0.145739422,0.128046497,0.103833835,0.083173899,0.02541139
md155,29.92190732,-82.42622461,-0.010236374,0.106287646,0.04447905,0.027369143,0.01141424,0.070446186,0.21007519,0.058517138,0.031261693,0.022558699,0.031494783,0.053136828
lg19,34.53541633,-81.54815796,0.104690412,0.095446822,0.099341369,0.089586955,0.107505792,0.136346601,0.227864172,0.218482731,0.164438132,0.199894055,0.143322211,0.089205915
lg39,29.84884769,-82.71512037,-0.234390983,-0.14768265,-0.235054931,-0.210526804,-0.325267171,-0.293089567,-0.348885415,-0.333768895,-0.426721946,-0.296495222,-0.324471103,-0.166821214
lg49,34.16315298,-84.74104742,-0.292491405,-0.23647062,-0.209494568,-0.174316639,-0.170411601,-0.201533327,-0.44161977,-0.407800791,-0.447809237,-0.228419686,-0.206575923,-0.266810469
lg50,33.9126719,-78.71501746,0.062597222,0.020923453,0.015081698,0.087483383,0.063584644,0.033594905,-0.019279695,0.002542481,0.178579212,-0.002895866,0.047882314,0.059830507
lg53,33.99722222,-84.20194444,-0.11329748,-0.141873745,-0.155683136,-0.151928796,-0.218263282,-0.28442141,-0.390355791,-0.353373213,-0.325317387,-0.281375146,-0.241919754,-0.083771094
lg58,28.36972837,-80.8725578,0.398671495,0.144263536,0.20367437,0.080902122,0.024331601,0.330615019,0.129615663,0.297301561,0.244352768,0.132492954,0.162553944,0.161306323
lg68,30.70410062,-83.03319553,-0.034137678,0.014222776,0.026952286,-0.014708846,0.071571213,0.154322142,0.221571593,0.112801968,0.11227461,0.134112411,0.073166317,-0.009775004
lg69,33.829893,-79.043647,-0.084444334,-0.12768422,-0.116055505,-0.04986823,0.002685442,-0.106578045,-0.139804462,-0.121551601,0.094675055,-0.189373786,-0.046852943,-0.068624452
lg70,33.85916667,-84.45444444,0.034971187,-0.026050665,-0.023780695,-0.026718239,0.013319691,-0.086454521,0.019449585,0.067249123,-0.022565593,-0.032479952,-0.035718045,0.060682009
lg97,33.65666667,-84.67361111,0.043901889,0.006730274,-0.001183592,0.018679143,0.073443982,0.118177574,0.063044541,0.120993981,0.058038075,0.026247773,0.020873056,0.065351994
lg109,34.01404162,-81.0878717,-0.212478611,-0.172475558,-0.171473239,-0.160159771,-0.295620373,-0.102375164,-0.069825206,-0.315933543,-0.369617792,-0.303374274,-0.181375837,-0.159933123
lg114,34.5962504,-81.4220423,0.017815768,-0.024847624,0.05255486,0.055836439,0.070079419,0.150374545,0.153604814,0.14151883,0.218957404,0.146351895,0.045956627,0.000182124
lg115,34.05710829,-79.24698974,0.093671756,0.027571085,0.096760433,0.137711154,0.172245302,0.017160979,0.076704441,0.101501933,0.295959606,-0.000615437,0.046514833,0.098332021
lg152,29.596358,-81.683138,-0.06970202,0.026638968,-0.002482172,-0.073479289,-0.069450098,-0.04446188,-0.066032716,-0.022874765,-0.065675495,0.018387165,-0.017100479,-0.094525849
