"Variable","JanSlope","FebSlope","MarSlope","AprSlope","MaySlope","JunSlope","JulSlope","AugSlope","SepSlope","OctSlope","NovSlope","DecSlope"
"DRAIN_SQKM",-0.278112929704749,-0.283993310559314,-0.197345466717566,-0.101283433586393,-0.0985599513875317,-0.193743582287964,-0.178046908768483,-0.193335112192162,-0.0814254492017552,-0.240725130182432,-0.301804468011664,-0.31381115570833
"PPTAVG_SITE",0.319832572275508,0.349865410263676,0.152701565671449,-0.044777358986625,0.129796248116855,0.171492234758872,0.155533868761135,0.136094801277818,0.0136495349212768,0.191431530113135,0.241642011480169,0.328497971360953
"RH_SITE",0.0742304976808938,0.112097243051155,-0.0133107552175627,-0.0425025448222181,0.0591770101727601,0.0832117170910177,0.00809255867513732,0.0138460041826577,-0.0520651583975689,0.0656960837736056,0.0471459738545921,0.118345801887056
"SNOW_PCT_PRECIP",-0.558480257415632,-0.579960985609586,-0.521508140847039,-0.345957180398002,-0.517301807282415,-0.424937979425851,-0.292323206273001,-0.40346501048428,-0.277118907095499,-0.550647944074738,-0.465040663565158,-0.561947220236236
"PRECIP_SEAS_IND",-0.165207340023989,-0.215560088310388,-0.343806023715119,-0.255435625260898,-0.369214569985544,-0.341657115819815,-0.277080883956449,-0.387000430495444,-0.292587251502055,-0.52370419347832,-0.378926965076764,-0.2440503483792
"MON_PPT7100_CM",0.2934056833759,0.269996500318653,0.0547058288386678,-0.193784498942914,0.080333326238211,0.210308916840769,0.22899284524407,0.367945457228384,0.113636432886021,0.033327486024133,0.00706247581455701,0.161834337169778
"MON_TMP7100_DEGC",0.673057016358109,0.652029989309493,0.542676985208629,0.337702651703939,0.552691989433056,0.429051608525116,0.260865700656364,0.430167153241143,0.265126702998046,0.478645380139665,0.501873329871378,0.618825491772488
"BFI_AVE",-0.262196849021317,-0.295498469542353,-0.293517887760392,-0.304185294989494,-0.423240921181899,-0.331152504643387,-0.189828816033061,-0.299331709145264,-0.229836076562897,-0.459072593545702,-0.290068700804796,-0.329068018715452
"STOR_NID_2009",-0.294593597303249,-0.336539811135261,-0.284297164782104,-0.235370849424322,-0.249245774830876,-0.377445506779042,-0.393927993662165,-0.37710532927734,-0.378905569937515,-0.273450631791804,-0.29040017460778,-0.296196299412656
"FORESTNLCD06",-0.215998567044577,-0.242383579007506,-0.322216655429096,-0.336242710632628,-0.258627820800721,-0.153052926563745,-0.120966956318859,-0.231980979849418,-0.196800839923164,-0.248566154178309,-0.205075580461514,-0.221620186362305
"PLANTNLCD06",0.0493298567163482,0.0914822867939146,0.203460332716981,0.356127853780466,0.354439165761096,0.22576500710676,0.038444008241189,0.249783897613611,0.190714928960841,0.338912157748099,0.146734024443161,0.107548220216165
"WETLANDSNLCD06",-0.0961703872277749,-0.0853112395133138,0.046195053228622,0.201207024479442,0.236006913098723,0.126679726141914,0.0601460026604189,0.233366504252306,0.159805504311849,0.193602528597778,0.083838030455413,-0.0515154840190923
"MAINS100_FOREST",-0.00998089363334333,-0.0180719375207617,-0.119329163577786,-0.182563506024695,-0.122640017561081,-0.00881353491664255,0.0174808145496497,-0.0556875698113251,-0.074814626869037,-0.0454433448165496,-0.0194170429802056,-0.0124263015925851
"IMPNLCD06",0.396062262014214,0.429385328386163,0.485889390350086,0.421358338111659,0.401382391011847,0.318548099423472,0.227068727664783,0.362562756466366,0.256167783364933,0.475509966274664,0.425331780763853,0.445107932699413
"AWCAVE",0.180422778026552,0.209794685607123,0.156175532436142,0.173487210856716,0.160970185268674,0.133916677683034,0.0848458108859563,0.0596207571077005,0.0227912070376458,0.0987094309363427,0.162417069155677,0.192541853314696
"PERMAVE",-0.206749422628208,-0.197199418669748,-0.155052298023388,-0.0639310656970994,-0.0886553505108459,-0.077312903556904,-0.0750137353752326,-0.0247767800206206,0.0202035159948894,-0.135952574280502,-0.204635805578999,-0.223878824695873
"WTDEPAVE",0.0103817589504731,-0.0372666714146459,-0.11970127546782,-0.298477378587219,-0.378813920762414,-0.270385418691964,-0.1240711978033,-0.334936404297738,-0.220546052251625,-0.399814376681185,-0.172207725752883,-0.0727842445314533
"ROCKDEPAVE",-0.0777331923586757,-0.0218281871756502,0.042112075553383,0.162528026095746,0.154648342141984,0.109671378126355,0.00573621976740775,0.176877978582308,0.103289829281842,0.184510222541854,0.0115978137753757,-0.0137261285743296
"ELEV_MEAN_M_BASIN",-0.347673366533134,-0.392785624178895,-0.391196058733511,-0.400229063632323,-0.50466230068528,-0.431680043584075,-0.253598826719221,-0.458349694554981,-0.261878529850595,-0.550658281537852,-0.426015785384997,-0.419904229776801
"SLOPE_PCT",-0.134052916197713,-0.193371934296548,-0.300166583019675,-0.395751719478896,-0.504038604428662,-0.297948552094519,-0.134787035340237,-0.396109696681355,-0.248638585363242,-0.491044693610429,-0.233635405616812,-0.196220519876571
"ASPECT_NORTHNESS",-0.0483137633173049,-0.0384089160041684,-0.0576392918284652,-0.0712638414732085,-0.202865558753922,-0.0706525292369087,-0.0239095167351295,-0.152726115664419,-0.0676334024418537,-0.22158762715177,-0.122613024641838,-0.0839682016651337
"ASPECT_EASTNESS",0.0675367853259506,0.0694253209782459,0.188782046120035,0.234267785577576,0.213047885980082,0.209688367438526,0.164615276798994,0.273808248014128,0.240561463562631,0.26080928790656,0.218890436080132,0.0830295561892317
"MonthlyQ",-0.272712991432628,-0.258446415200735,-0.285996847151712,-0.232665759970155,-0.241722411669994,-0.301974121928896,-0.277494270029922,-0.306320178922691,-0.265287169820349,-0.391743184159549,-0.403334117714958,-0.322716237489911
