"Variable","Jan_Max","Feb_Max","Mar_Max","Apr_Max","May_Max","Jun_Max","Jul_Max","Aug_Max","Sep_Max","Oct_Max","Nov_Max","Dec_Max"
"DRAIN_SQKM",-0.0979462028203,-0.0352705958733428,0.0651751453857111,0.0953363362164317,0.0994288552332184,0.144364450754051,0.178022057235276,0.171395042980278,0.112870648757834,-0.0606120672580678,-0.120446729631143,-0.0947909833754173
"PPTAVG_SITE",0.35028429858621,0.270462254983806,0.094461745454708,0.0226330127921138,0.0594873981194066,0.0134279838017377,-0.0028238493748544,0.00273859714491254,0.0642549029270791,0.289204316100228,0.378682485653045,0.390126745078198
"RH_SITE",0.100432803920793,0.0116460758033546,-0.145590691472333,-0.174655006202807,-0.0518895754716383,-0.0472392982640236,-0.073241253037583,-0.0691923516243008,-0.049151515648449,0.0671657392888844,0.065697048335058,0.134954512595086
"SNOW_PCT_PRECIP",-0.579187505161493,-0.63063613850652,-0.652633350954557,-0.713528905944269,-0.721095090874018,-0.67720724665515,-0.623749095158524,-0.650342545923684,-0.682449174079411,-0.778498505560245,-0.765232537405615,-0.615627668065237
"PRECIP_SEAS_IND",0.0326720284271743,-0.0530326937316264,-0.183868196705352,-0.265199962827184,-0.280753585878752,-0.244143002425114,-0.285635111201712,-0.255078062783094,-0.299997736538184,-0.436980182257707,-0.306901691784028,-0.0392719441445513
"MON_PPT7100_CM",0.441158308428294,0.363563723944896,0.135672809708235,-0.18419649091407,0.0433639401683285,0.228328076784693,0.371967987886949,0.321148092378042,0.207994680163691,0.0538770024419394,0.0806352190937933,0.341559947098084
"MON_TMP7100_DEGC",0.904192024781003,0.859805875399983,0.811455150880717,0.764664969160189,0.78894981006892,0.761119939279584,0.715653970571952,0.709054050096786,0.708076694926212,0.7695207112224,0.893878971012789,0.896952076588063
"BFI_AVE",-0.21360299468107,-0.283492979683838,-0.349998912260173,-0.44126815370674,-0.551830893713361,-0.57232122123135,-0.555242185204639,-0.577435251734023,-0.60367199133258,-0.668840634047709,-0.527526577946653,-0.263296908610425
"STOR_NID_2009",-0.00965037233377007,-0.106301406728091,-0.181786217167476,-0.296982257646901,-0.371548244065404,-0.395391096878524,-0.400892556168434,-0.359820723220741,-0.308950157382268,-0.150405020277166,0.0599983342529246,0.061051208950377
"FORESTNLCD06",-0.0779721252559463,-0.156985774701748,-0.3132124390997,-0.46673732525968,-0.469368927906747,-0.465346532522259,-0.43974784454717,-0.467806540187406,-0.418438321441979,-0.266406007424803,-0.180953580214112,-0.101141089684108
"PLANTNLCD06",-0.0154843791754674,0.0699288282579525,0.203422640660806,0.417438344401105,0.575723066081308,0.58917003214317,0.584994557776273,0.575811608044997,0.552644899625936,0.544935562773305,0.323418084000453,0.0414288795052191
"WETLANDSNLCD06",-0.338537537095051,-0.31799050914595,-0.199541277876939,0.0118841598231711,0.163511921773156,0.183127871820428,0.184468091093774,0.174814388333334,0.0991994050809397,0.00620832466233598,-0.167263563023906,-0.30418056180808
"MAINS100_FOREST",0.091786437448993,0.0245209512189519,-0.130431600928591,-0.25279918498173,-0.267880303542589,-0.305235230378817,-0.310802751163157,-0.317050525184651,-0.256788867884705,-0.0895433108358846,-0.0145803982133786,0.0705728522969637
"IMPNLCD06",0.312180337214049,0.385454620637235,0.46788193860867,0.568789815516741,0.581077725388939,0.519988036521455,0.48515666102372,0.50721403452333,0.545300396639528,0.551210819556782,0.461991261216724,0.316540141469032
"AWCAVE",0.161908872406577,0.154744250957476,0.115424383001468,0.105274099387212,0.15169244766887,0.151121075360758,0.108660405415506,0.151747992816278,0.108017556757226,0.0940746680699151,0.105983241827265,0.180681357472228
"PERMAVE",-0.226975157465374,-0.214301976357231,-0.230392110579703,-0.219513765574686,-0.205868792741154,-0.194960242822932,-0.177949098636642,-0.207150634944661,-0.227832495825656,-0.31504404010635,-0.361276459534867,-0.266231986817059
"WTDEPAVE",0.251827382432948,0.223559469421073,0.158159683066131,-0.0633479111535991,-0.337715113271429,-0.359440738046142,-0.351566829866406,-0.349227613224483,-0.331514705771254,-0.357695055499637,-0.0668094643883538,0.209844466823044
"ROCKDEPAVE",-0.210860285446612,-0.207862748793349,-0.158486753790703,0.0197451340716183,0.182838911033611,0.20426679138972,0.215395671767435,0.189415938246193,0.129971880611341,0.0983981679634044,-0.0902677615492502,-0.167646882523839
"ELEV_MEAN_M_BASIN",-0.195206809295734,-0.21567836328367,-0.230416774018858,-0.410804039992172,-0.599107924005436,-0.578007320574314,-0.531992242667309,-0.531482446816944,-0.529953851268187,-0.61898221565923,-0.46154262005535,-0.250287112989559
"SLOPE_PCT",0.0438259724580718,-0.0379331744699697,-0.172604322608521,-0.415167845631167,-0.603319188435083,-0.60227179586376,-0.574529186312302,-0.575275491443523,-0.538280070745152,-0.511648686669874,-0.255653178705274,-0.00800751570030754
"ASPECT_NORTHNESS",-0.022135599226579,-0.0290866274259113,-0.0634900473176898,-0.141420729631538,-0.244665762753451,-0.212433499042554,-0.193367096468532,-0.165528001849249,-0.168980953979492,-0.232388304364015,-0.157478321596731,-0.0516719683200152
"ASPECT_EASTNESS",0.00134402871961875,0.0446762053100901,0.144370798953446,0.252837861871697,0.253267875484192,0.236162775209607,0.260390996564589,0.246278599865698,0.210445399326468,0.179527451090366,0.142137566208784,0.0287741389685347
"MonthlyQ",-0.0578566391475416,-0.0914690747567204,-0.102397532050355,-0.242223891880975,-0.188885575464084,-0.188492709258862,-0.183729493536915,-0.208862817980736,-0.290121290433035,-0.314461418653095,-0.274700768249515,-0.0979112263081328
