Variable,JanSlope,FebSlope,MarSlope,AprSlope,MaySlope,JunSlope,JulSlope,AugSlope,SepSlope,OctSlope,NovSlope,DecSlope
DRAIN_SQKM,-0.452097902,-0.466215035,-0.374475524,-0.303234266,-0.223033217,0.054195804,-0.04458042,0.167875874,0.213898601,-0.346328671,-0.350917832,-0.52854021
PPTAVG_SITE,-0.092307692,-0.127491259,-0.229501748,-0.206337413,-0.000131119,-0.298339161,-0.172159091,-0.356730769,-0.249256993,-0.15083042,-0.22465035,-0.047596154
RH_SITE,-0.230744987,-0.082086321,-0.134657698,-0.091819252,-0.167582555,0.055484482,0.102297396,0.076214947,0.229909446,-0.24264581,-0.135267418,-0.301969267
SNOW_PCT_PRECIP,0.035128609,-0.142859266,-0.057042901,-0.023777006,-0.031994865,-0.114502173,-0.171238273,-0.247346607,-0.314711139,0.018451833,-0.033879495,0.105035199
PRECIP_SEAS_IND,-0.094624126,0.07618007,-0.081424825,-0.105812937,0.007255245,-0.026879371,0.041914336,0.018662587,0.109571678,-0.20659965,-0.141127622,-0.168837413
MON_PPT7100_CM,-0.00118007,-0.040253497,-0.196940559,-0.11284965,-0.003234266,0.007342657,0.1375,-0.067089161,0.082736014,-0.140340909,-0.118006993,0.007998252
MON_TMP7100_DEGC,-0.060926573,0.131031469,0.04763986,0.010795455,0.045498252,0.147333916,0.251704545,0.309659091,0.336013986,-0.012019231,0.059222028,-0.12534965
BFI_AVE,-0.118706294,-0.252272727,-0.25083042,-0.162587413,-0.298382867,-0.218444056,-0.390122378,-0.263155594,-0.297071678,-0.249606643,-0.239641608,-0.147552448
STOR_NID_2009,-0.324896179,-0.431132491,-0.361580837,-0.360747095,-0.194656868,-0.23450097,-0.240819858,-0.095573187,-0.239459542,-0.135724457,-0.27539822,-0.380713027
FORESTNLCD06,-0.33868007,-0.483041958,-0.315909091,-0.198426573,-0.218356643,-0.16722028,-0.219624126,-0.20826049,-0.164335664,-0.157298951,-0.250043706,-0.252403846
PLANTNLCD06,-0.426048951,-0.380244755,-0.261582168,-0.220629371,-0.331730769,0.098732517,-0.125568182,0.150699301,0.231293706,-0.375393357,-0.247465035,-0.52618007
WETLANDSNLCD06,-0.130856643,0.002403846,0.00354021,-0.0375,-0.037718531,0.217307692,0.12076049,0.312281469,0.358653846,-0.161800699,-0.086625874,-0.343050699
MAINS100_FOREST,0.000917832,-0.165952797,-0.03548951,0.051791958,0.078671329,-0.073382867,-0.040384615,-0.154938811,-0.148776224,0.187194056,0.035708042,0.144711538
IMPNLCD06,0.359615385,0.374519231,0.233041958,0.088417832,0.266826923,-0.056381119,0.113286713,0.015340909,-0.17854021,0.332954545,0.208304196,0.356337413
AWCAVE,0.152306015,0.031650274,0.052109291,0.098404374,0.187715851,0.069901641,-0.032306012,-0.068196723,-0.105267762,0.168655742,0.08118033,0.192087436
PERMAVE,-0.306831593,-0.161239565,-0.158005158,-0.162463395,-0.334455178,-0.016040911,-0.088246864,0.009222431,0.158660781,-0.400148608,-0.219590017,-0.371344902
WTDEPAVE,-0.073823157,-0.255387036,-0.16963154,-0.133921937,-0.117269112,-0.277853053,-0.294199922,-0.314087154,-0.402727392,-0.028016959,-0.125049172,-0.009572097
ROCKDEPAVE,-0.274976507,-0.215898414,-0.200292879,-0.183987937,-0.279478945,-0.043691125,-0.192905386,0.035407515,0.117566063,-0.31886434,-0.29115031,-0.392520714
ELEV_MEAN_M_BASIN,0.085270979,-0.054807692,-0.050131119,-0.073208042,-0.057692308,-0.241652098,-0.282255245,-0.355375874,-0.46284965,0.021984266,-0.063854895,0.191652098
SLOPE_PCT,-0.080375874,-0.253190559,-0.194798951,-0.098645105,-0.063024476,-0.165603147,-0.152884615,-0.220716783,-0.319493007,0.021590909,-0.069187063,0.04173951
ASPECT_NORTHNESS,0.269143357,0.419842657,0.363417832,0.316870629,0.073076923,0.263024476,0.204064685,0.202185315,0.192657343,0.138243007,0.283085664,0.247115385
ASPECT_EASTNESS,-0.020891608,-0.024256993,0.05743007,0.050218531,-0.035445804,0.193837413,0.075218531,0.189729021,0.285926573,0.015777972,0.094449301,-0.076048951
MonthlyQ,-0.530469083,-0.58479021,-0.528409091,-0.430201049,-0.315734266,-0.083435315,-0.118336083,0.093050699,0.171636491,-0.460035621,-0.430725524,-0.587462713
