"","mtry","Jan_rmse","Feb_rmse","Mar_rmse","Apr_rmse","May_rmse","Jun_rmse","Jul_rmse","Aug_rmse","Sep_rmse","Oct_rmse","Nov_rmse","Dec_rmse","train_rmse"
"1",1,2.33702269721343,2.07349545561284,2.2198688314447,2.34957867631709,2.55664604211795,2.63321190278053,2.34009768126824,2.48534066904946,2.669391124416,2.89241234137131,2.64416543164536,2.42545094787521,2.46889015009268
"2",2,1.98634723259082,1.71865206682329,1.80061156812912,1.92518316789481,2.09565897806816,2.16525776774059,1.99375450088427,2.17189303214267,2.410661462351,2.68826959081042,2.43922971505761,2.18750267425195,2.13191847972872
"3",3,1.8307684970617,1.54032225694042,1.5909080936985,1.69973960074813,1.86044604067033,1.92868078963699,1.83670626949498,2.04511001983991,2.3020131754346,2.59991187391413,2.35607663452094,2.08692923228617,1.97313437368723
"4",4,1.73307753051499,1.44118011528598,1.45828882582432,1.56990403604327,1.71087951486184,1.77660459198253,1.7420436763499,1.97751719485226,2.24580582370354,2.54675135139266,2.31618792127575,2.03006180679846,1.87902519907379
"5",5,1.68386301291138,1.38349225174623,1.37985967225799,1.48719444051037,1.62622733891609,1.68311232725567,1.68660370468568,1.93237063037987,2.20561538061323,2.51521427273082,2.28076524560126,2.00097467570362,1.82210774610935
"6",6,1.64561225976033,1.33659592736581,1.31478359919982,1.42795900591396,1.56365248049034,1.61570781539075,1.6511584955904,1.90354334443109,2.17992284313347,2.49745583347295,2.26568555605718,1.98073479185936,1.78190099605545
"7",7,1.61813751928446,1.30459194840531,1.26597403735216,1.38697294731752,1.51922407060272,1.57265839831711,1.62843414156105,1.8830052823988,2.16277550929212,2.48463056132589,2.24826495207829,1.96524762655733,1.75332641620773
"8",8,1.60136984423568,1.28656893536749,1.23145666493882,1.35619273391203,1.48908345285321,1.54704193962609,1.61425224692703,1.87414672399049,2.1522731902418,2.46913882749975,2.24065558106533,1.9515981097223,1.734481520865
"9",9,1.58676858169894,1.27106414454968,1.20815562172973,1.3353362554657,1.46885169707137,1.52888394184138,1.60809873629567,1.86311214594711,2.14089989918242,2.46340265231375,2.23152223998497,1.951057624499,1.72142946171498
"10",10,1.57453506844508,1.26237857234606,1.18890841892119,1.31349647030436,1.45082982783969,1.50855890430697,1.59914030234046,1.85606089308167,2.13414203561374,2.46237100465507,2.2258382719967,1.94248627398426,1.70989550365294
"11",11,1.56687387189344,1.25218113944989,1.17436984815359,1.299427681444,1.43965188536591,1.49874923896849,1.59716826864847,1.85236211383043,2.1280276651286,2.44958854611989,2.22143442279905,1.93590680465047,1.70131179053769
"12",12,1.55060333696173,1.24826898437845,1.1667293354532,1.28792498932921,1.42557645129794,1.4943475676607,1.59349100511213,1.85062186199142,2.12628744448457,2.44636809302528,2.21477033533186,1.93507700791443,1.69500553441174
"13",13,1.54853082539026,1.24246674304643,1.15358797328321,1.28011021441107,1.41844640064032,1.49181208732504,1.5931850407219,1.85117095593141,2.12327933368484,2.44058816873968,2.21466070829461,1.93060795232917,1.69070386698316
"14",14,1.54441696567594,1.24055894513778,1.14816909703706,1.26944915999379,1.41664856933736,1.48891144061268,1.59330339222015,1.84912124363852,2.12382691944707,2.4366373692563,2.2069499329209,1.92861862286239,1.68721763817833
"15",15,1.54049780081841,1.2392064607648,1.14044133438178,1.26784800074655,1.41104342190171,1.48886587188016,1.59226836613757,1.85005080930081,2.11986827504625,2.43366009293045,2.20568816583396,1.92834188665031,1.68481504053273
"16",16,1.53959236776429,1.23443618184936,1.13712739514987,1.26665421839907,1.4009314609821,1.49029658118416,1.59215124775786,1.85140641111941,2.12233460790008,2.42765960134242,2.19954277296352,1.92447963986646,1.68221770718988
"17",17,1.53655694600503,1.237408648786,1.13773045533708,1.26156196679238,1.40273649931909,1.490368937184,1.5913952557116,1.85105450406216,2.11994186636601,2.42571794771273,2.19901970732154,1.92522131670682,1.68155950427537
"18",18,1.53632380692424,1.23538356735642,1.13290817999658,1.26225266145668,1.40220136365408,1.49492205168922,1.59391019263724,1.85337925288429,2.11616692324013,2.42257645939539,2.19507254014516,1.92579862261519,1.68090796849955
"19",19,1.53787395762819,1.2336877188223,1.13236566035341,1.26102208535765,1.40129933593709,1.5001863171269,1.59109066111151,1.85607177513273,2.11740754190296,2.41678204627971,2.19187165598926,1.9244126214014,1.68033928142026
"20",20,1.5362454511569,1.23673801420069,1.13114086859347,1.26312929520171,1.40410461177878,1.50429241097486,1.59206786644001,1.85776658703788,2.11684195199026,2.41594071800889,2.18799532332004,1.92202041367388,1.68069029269811
